Wed May  5 11:51:54 2021    profile_stats

         20536331 function calls (20387658 primitive calls) in 185796.763 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6531    0.025    0.000    0.050    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\element.py:722(<genexpr>)
     2484    0.004    0.000    0.048    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\builder\_htmlparser.py:221(handle_comment)
       17    0.046    0.003    0.047    0.003 <frozen importlib._bootstrap_external>:914(get_data)
   108421    0.045    0.000    0.045    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\builder\__init__.py:176(can_be_empty_element)
     3489    0.011    0.000    0.045    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\ImageFile.py:274(load_prepare)
        4    0.000    0.000    0.043    0.011 C:\ProgramData\Anaconda3\lib\socket.py:735(getaddrinfo)
   142384    0.043    0.000    0.043    0.000 {method 'rindex' of 'str' objects}
   529697    0.042    0.000    0.042    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\element.py:1334(__bool__)
        4    0.042    0.011    0.042    0.011 {built-in method _socket.getaddrinfo}
      128    0.003    0.000    0.042    0.000 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\GUI.py:54(add_role)
     4971    0.003    0.000    0.041    0.000 C:\ProgramData\Anaconda3\lib\site-packages\soupsieve\css_match.py:698(match_tag)
       93    0.002    0.000    0.041    0.000 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\LogFiles.py:92(main_log)
        4    0.040    0.010    0.040    0.010 {method 'connect' of '_socket.socket' objects}
     6390    0.008    0.000    0.040    0.000 C:\ProgramData\Anaconda3\lib\pathlib.py:714(__fspath__)
     4876    0.013    0.000    0.038    0.000 C:\ProgramData\Anaconda3\lib\html\parser.py:123(set_cdata_mode)
       65    0.000    0.000    0.038    0.001 C:\ProgramData\Anaconda3\lib\tkinter\__init__.py:2748(__init__)
       93    0.002    0.000    0.037    0.000 C:\ProgramData\Anaconda3\lib\logging\__init__.py:1491(_log)
     3489    0.024    0.000    0.037    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\PngImagePlugin.py:341(chunk_IHDR)
      672    0.037    0.000    0.037    0.000 {method 'resize' of 'ImagingCore' objects}
   243195    0.035    0.000    0.035    0.000 {method 'join' of 'str' objects}
      134    0.001    0.000    0.035    0.000 C:\ProgramData\Anaconda3\lib\tkinter\__init__.py:2974(__init__)
     3489    0.033    0.000    0.033    0.000 {built-in method PIL._imaging.new}
     3665    0.022    0.000    0.032    0.000 C:\ProgramData\Anaconda3\lib\tkinter\__init__.py:1315(_options)
     6390    0.023    0.000    0.032    0.000 C:\ProgramData\Anaconda3\lib\pathlib.py:704(__str__)
    10467    0.032    0.000    0.032    0.000 {method 'tell' of '_io.BufferedReader' objects}
     3489    0.015    0.000    0.031    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\Image.py:394(_getdecoder)
   197246    0.030    0.000    0.030    0.000 {method 'start' of 're.Match' objects}
      170    0.001    0.000    0.029    0.000 C:\ProgramData\Anaconda3\lib\site-packages\urllib3\response.py:691(_handle_chunk)
     3489    0.009    0.000    0.029    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\PngImagePlugin.py:144(crc)
      311    0.001    0.000    0.029    0.000 C:\ProgramData\Anaconda3\lib\http\client.py:604(_safe_read)
   108336    0.028    0.000    0.028    0.000 C:\ProgramData\Anaconda3\lib\_markupbase.py:40(getpos)
    12780    0.028    0.000    0.028    0.000 {built-in method sys.intern}
   108421    0.025    0.000    0.028    0.000 C:\ProgramData\Anaconda3\lib\site-packages\bs4\builder\__init__.py:399(set_up_substitutions)
     3489    0.008    0.000    0.027    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\PngImagePlugin.py:642(load_read)
   108452    0.027    0.000    0.027    0.000 {method 'endswith' of 'str' objects}
     4971    0.004    0.000    0.026    0.000 C:\ProgramData\Anaconda3\lib\site-packages\soupsieve\css_match.py:689(match_tagname)
     3489    0.010    0.000    0.026    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\BmpImagePlugin.py:49(_dib_accept)
    83683    0.025    0.000    0.025    0.000 C:\ProgramData\Anaconda3\lib\html\parser.py:127(clear_cdata_mode)
     4878    0.003    0.000    0.025    0.000 C:\ProgramData\Anaconda3\lib\re.py:232(compile)
233927/233916    0.025    0.000    0.025    0.000 {built-in method builtins.len}
       89    0.001    0.000    0.024    0.000 C:\ProgramData\Anaconda3\lib\genericpath.py:27(isfile)
        4    0.002    0.000    0.024    0.006 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\RequestsHandler.py:44(save)
   108425    0.023    0.000    0.023    0.000 {method 'pop' of 'list' objects}
    24423    0.023    0.000    0.023    0.000 {built-in method _struct.unpack_from}
       42    0.012    0.000    0.022    0.001 C:\ProgramData\Anaconda3\lib\tkinter\__init__.py:1388(_substitute)
     6177    0.022    0.000    0.022    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\Image.py:501(__init__)
     4878    0.015    0.000    0.022    0.000 C:\ProgramData\Anaconda3\lib\re.py:271(_compile)
     1344    0.021    0.000    0.021    0.000 {method 'convert' of 'ImagingCore' objects}
       93    0.001    0.000    0.021    0.000 C:\ProgramData\Anaconda3\lib\logging\__init__.py:1516(handle)
    11263    0.015    0.000    0.020    0.000 C:\ProgramData\Anaconda3\lib\site-packages\soupsieve\util.py:44(lower)
    11682    0.015    0.000    0.020    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\Image.py:781(load)
    10467    0.020    0.000    0.020    0.000 {method 'seek' of '_io.BufferedReader' objects}
        1    0.001    0.001    0.020    0.020 C:\Users\Media Markt\Desktop\Vita Online\LoL\runescrape\ChampionList.py:52(parse_champions)
    20934    0.008    0.000    0.020    0.000 C:\ProgramData\Anaconda3\lib\site-packages\PIL\_binary.py:70(i32be)
       93    0.001    0.000    0.020    0.000 C:\ProgramData\Anaconda3\lib\logging\__init__.py:1570(callHandlers)
        4    0.019    0.005    0.019    0.005 {built-in method _pickle.dump}
